iso3c;country;emptying_method;population_2017;population_emptying_method;count_pits_septics;emptying_demand;urban_demand;rural_demand
AFG;Afghanistan;mechanized;35530085,17;3449125,825;367345,1076;0,097076205;0,664334509;0,335665491
BGD;Bangladesh;mechanized;164669683,4;12457837,25;1809175,488;0,075653496;0,897662203;0,102337797
BTN;Bhutan;mechanized;807610,0211;438967,3195;78556,08764;0,543538723;0,413934134;0,586065866
IND;India;mechanized;1339180291;273352502,5;52459681,51;0,204119269;0,537239952;0,462760048
IRN;Iran (Islamic Republic of);mechanized;81162560,05;39585421,01;10546022,63;0,487730069;0,693796184;0,306203816
KAZ;Kazakhstan;mechanized;18204492,2;6289801,069;1777876,476;0,345508185;0,428590921;0,571409079
KGZ;Kyrgyzstan;mechanized;6045077,406;3441683,283;800980,71;0,569336512;0,291110806;0,708889194
MDV;Maldives;mechanized;436330,0251;19564,57058;3652,59007;0,044838928;0;1
NPL;Nepal;mechanized;29304995,5;7364536,736;1528267,693;0,25130653;0,23128966;0,76871034
PAK;Pakistan;mechanized;197015965,1;14486310,83;1922982,641;0,073528614;0,430987264;0,569012736
LKA;Sri Lanka;mechanized;20876967,25;5546573,15;1051509,547;0,265679066;0,32372455;0,67627545
TJK;Tajikistan;mechanized;8921363,716;3393414,813;532980,8658;0,380369518;0,221971008;0,778028992
TKM;Turkmenistan;mechanized;5758083,43;1510680,545;289678,0301;0,262358225;0,517755181;0,482244819
UZB;Uzbekistan;mechanized;31910638,87;12041090,29;2297007,46;0,377337801;0,490906622;0,509093378
BRN;Brunei Darussalam;mechanized;;0;0;;;
KHM;Cambodia;mechanized;16005372,51;1570988,639;324580,0285;0,098153832;0,667237365;0,332762635
CHN;China;mechanized;1409515978;204155210,6;57659216,31;0,14484065;0,4912542;0,5087458
HKG;China, Hong Kong Special Administrative Region;mechanized;7364882,919;196850,9225;67661,45538;0,026728317;1;0
MAC;China, Macao Special Administrative Region;mechanized;;0;0;;;
PRK;Democratic People's Republic of Korea;mechanized;25490969,29;4701213,43;1186501,163;0,184426625;0,470244915;0,529755085
IDN;Indonesia;mechanized;263991374,8;27733400,22;6299993,777;0,105054191;0,733856487;0,266143513
JPN;Japan;mechanized;127484455,2;0;0;0;;
LAO;Lao People's Democratic Republic;mechanized;6858159,411;2114157,309;536682,0778;0,308268907;0,661572444;0,338427556
MYS;Malaysia;mechanized;31624266,46;0;0;0;;
MNG;Mongolia;mechanized;3075681,307;386318,6869;70643,31856;0,125604264;0,941649445;0,058350555
MMR;Myanmar;mechanized;53370580,71;8025203,665;1734789,193;0,150367554;0,753444263;0,246555737
PHL;Philippines;mechanized;104918091;27604628,44;5183298,932;0,263106469;0,556407241;0,443592759
KOR;Republic of Korea;mechanized;50982210,2;0;0;0;;
SGP;Singapore;mechanized;5708844;0;0;0;;
THA;Thailand;mechanized;69037511,9;32962940,75;8858602,728;0,477464205;0,589918357;0,410081643
TLS;Timor-Leste;mechanized;1296311,217;338342,3382;52175,77487;0,261003942;0,52244345;0,47755655
VNM;Viet Nam;mechanized;95540797,9;27815999,89;7181784,303;0,291142638;0,698975185;0,301024815
AIA;Anguilla;mechanized;14909;10671,0886;2874,501586;0,715748112;1;0
ATG;Antigua and Barbuda;mechanized;102011,9946;0;0;0;;
ARG;Argentina;mechanized;43937140;10822508,69;3266830,288;0,246318005;1;0
ABW;Aruba;mechanized;;0;0;;;
BHS;Bahamas;mechanized;395360,9967;0;0;0;;
BRB;Barbados;mechanized;285718,9999;0;0;0;;
BLZ;Belize;mechanized;374680,9719;210285,0291;53988,59854;0,561237546;0,464594148;0,535405852
BOL;Bolivia (Plurinational State of);mechanized;11051597,3;1661531,473;401711,1208;0,150343107;0,810004473;0,189995527
BRA;Brazil;mechanized;209288304,1;32631257,96;9820971,584;0,155915344;0,713553278;0,286446722
VGB;British Virgin Islands;mechanized;;0;0;;;
CYM;Cayman Islands;mechanized;;0;0;;;
CHL;Chile;mechanized;18054734,73;1553586,109;434396,3379;0,086048681;0,142920206;0,857079794
COL;Colombia;mechanized;49065610,76;4531973,505;1241275,085;0,092365578;0,343925476;0,656074524
CRI;Costa Rica;mechanized;4905768,676;2765399,841;796212,9031;0,563703677;0,742990916;0,257009084
CUB;Cuba;mechanized;11484635,67;2953794,125;923965,9573;0,257195283;0,691102629;0,308897371
CUW;Cura鏰o;mechanized;160538,9906;0;0;0;;
DMA;Dominica;mechanized;;0;0;;;
DOM;Dominican Republic;mechanized;10766998,63;4692927,407;1244049,981;0,435862172;0,811225999;0,188774001
ECU;Ecuador;mechanized;16624857,79;3261613,194;808174,9013;0,196188938;0,366318716;0,633681284
SLV;El Salvador;mechanized;6377854,293;2392499,118;539932,2698;0,375126023;0,580709706;0,419290294
FLK;Falkland Islands (Malvinas);mechanized;2910,00012;0;0;0;;
GUF;French Guiana;mechanized;282731,0226;0;0;0;;
GRD;Grenada;mechanized;107824,9924;0;0;0;;
GLP;Guadeloupe;mechanized;449567,977;0;0;0;;
GTM;Guatemala;mechanized;16913510,42;3287338,884;608837,1078;0,194361715;0,33654687;0,66345313
GUY;Guyana;mechanized;777858,9824;356045,9522;87387,99977;0,457725578;0,338505081;0,661494919
HTI;Haiti;mechanized;10981230,42;1108901,33;177165,7894;0,100981519;0,665525303;0,334474697
HND;Honduras;mechanized;9265068,093;3025638,603;634222,8484;0,326564098;0,362025472;0,637974528
JAM;Jamaica;mechanized;2890298,554;1353109,122;407613,5246;0,468155485;0,524500318;0,475499682
MTQ;Martinique;mechanized;384895,9655;0;0;0;;
MEX;Mexico;mechanized;129163259,2;16139467,01;4068821,994;0,124954009;0,399274821;0,600725179
MSR;Montserrat;mechanized;;0;0;;;
NIC;Nicaragua;mechanized;6217579,051;1676930,277;324907,5206;0,269707914;0,750035392;0,249964608
PAN;Panama;mechanized;4098587,504;1459963,931;378840,5036;0,356211482;0,612729024;0,387270976
PRY;Paraguay;mechanized;6811297,744;4031692,227;849590,929;0,591912493;0,634590691;0,365409309
PER;Peru;mechanized;32165465,93;2653134,616;659564,0056;0,082483948;0,401558405;0,598441595
PRI;Puerto Rico;mechanized;3663130,822;0;0;0;;
KNA;Saint Kitts and Nevis;mechanized;;0;0;;;
LCA;Saint Lucia;mechanized;178844,0087;121133,8021;30757,47745;0,677315405;0,174327576;0,825672424
VCT;Saint Vincent and the Grenadines;mechanized;109897,0002;0;0;0;;
SXM;Sint Maarten (Dutch part);mechanized;40120,00406;0;0;0;;
SUR;Suriname;mechanized;563401,9926;313987,4372;74000,17197;0,557306224;0,75660159;0,24339841
TTO;Trinidad and Tobago;mechanized;1369124,962;0;0;0;;
TCA;Turks and Caicos Islands;mechanized;35446;0;0;0;;
VIR;United States Virgin Islands;mechanized;104901,0027;0;0;0;;
URY;Uruguay;mechanized;3456750,321;1002357,343;354925,0116;0,289970999;0,884038181;0,115961819
VEN;Venezuela (Bolivarian Republic of);mechanized;31977084,78;0;0;0;;
DZA;Algeria;mechanized;41318123,42;2578778,42;482751,3464;0,062412767;0,272985614;0,727014386
ARM;Armenia;mechanized;2930444,279;523858,6592;129304,6658;0,178764245;0,017367598;0,982632402
AZE;Azerbaijan;mechanized;9827636,217;3283648,203;710244,4289;0,334123906;0,414172762;0,585827238
BHR;Bahrain;mechanized;1492584;0;0;0;;
CYP;Cyprus;mechanized;1179551,094;417753,2876;152060,0012;0,354162944;0,373833205;0,626166795
EGY;Egypt;mechanized;97553157,01;22659422,9;5253123,85;0,2322777;0,050201053;0,949798947
GEO;Georgia;mechanized;3912058,651;751045,8678;212730,479;0,191982262;0,252166495;0,747833505
IRQ;Iraq;mechanized;38274617,35;15689350,86;2020541,378;0,40991529;0,691656089;0,308343911
